Strata;Plot;Individuals;Specie;Height;Diameter;Volume
2;6;1547;Cordia oncocalyx;3;4.13802852;0.004008474
2;6;1548;Handroanthus selachidentatus;2;3.501408748;0.002323648
2;6;1549;Cenostigma bracteosum;2;3.9152116;0.002829985
2;6;1550;morta;2;5.411268065;0.005009715
2;6;1551;Cordia incognita;3;4.61549335;0.004860413
2;6;1551;Cordia incognita;3;4.13802852;0.004008474
2;6;1552;Pityrocarpa moniliformis;4;6.68450761;0.011161328
2;6;1553;Handroanthus selachidentatus;4;6.68450761;0.011161328
2;6;1554;Pityrocarpa moniliformis;3;7.002817496;0.010143664
2;6;1555;morta;3;6.366197724;0.008573258
2;6;1555;morta;3;5.729577951;0.00711859
2;6;1555;morta;3;4.13802852;0.004008474
2;6;1555;morta;3;3.819718634;0.00348042
2;6;1556;Handroanthus selachidentatus;4.5;5.53859202;0.008613575
2;6;1557;Cnidoscolus quercifolius;3;5.729577951;0.00711859
2;6;1558;Cordia oncocalyx;3;3.819718634;0.00348042
2;6;1558;Cordia oncocalyx;3;5.252113122;0.006105278
2;6;1558;Cordia oncocalyx;3;4.456338407;0.004568546
2;6;1558;Cordia oncocalyx;3;4.456338407;0.004568546
2;6;1558;Cordia oncocalyx;3;5.092958179;0.005782572
2;6;1558;Cordia oncocalyx;3;5.634084985;0.006910547
2;6;1558;Cordia oncocalyx;3;6.047887837;0.007831283
2;6;1559;Handroanthus selachidentatus;4;5.411268065;0.007687079
2;6;1560;Handroanthus selachidentatus;3;3.183098862;0.002522866
2;6;1561;Pityrocarpa moniliformis;3;4.933803236;0.005467487
2;6;1561;Pityrocarpa moniliformis;3;5.092958179;0.005782572
2;6;1562;Cordia oncocalyx;3;4.456338407;0.004568546
