Strata;Plot;Individuals;Specie;Height;Diameter
2;6;1555;morta;3;6.366197724
2;6;1555;morta;3;5.729577951
2;6;1555;morta;3;4.13802852
2;6;1555;morta;3;3.819718634
2;6;1556;Handroanthus selachidentatus;4.5;5.53859202
2;6;1557;Cnidoscolus quercifolius;3;5.729577951
2;6;1558;Cordia oncocalyx;3;3.819718634
2;6;1558;Cordia oncocalyx;3;5.252113122
2;6;1558;Cordia oncocalyx;3;4.456338407
2;6;1558;Cordia oncocalyx;3;4.456338407
2;6;1558;Cordia oncocalyx;3;5.092958179
2;6;1558;Cordia oncocalyx;3;5.634084985
2;6;1558;Cordia oncocalyx;3;6.047887837
2;6;1559;Handroanthus selachidentatus;4;5.411268065
2;6;1560;Handroanthus selachidentatus;3;3.183098862
2;6;1561;Pityrocarpa moniliformis;3;4.933803236
2;6;1561;Pityrocarpa moniliformis;3;5.092958179
2;6;1562;Cordia oncocalyx;3;4.456338407
2;6;1562;Cordia oncocalyx;3;3.978873577
2;6;1562;Cordia oncocalyx;3;4.360845441
2;6;1562;Cordia oncocalyx;3;4.774648293
2;6;1563;Senegalia tenuifolia;4.5;14.00563499
2;6;1563;Senegalia tenuifolia;4.5;11.4591559
2;6;1564;Godmania dardanoi;3;6.716338598
2;6;1565;Cnidoscolus quercifolius;3;4.933803236
2;6;1565;Cnidoscolus quercifolius;3;4.742817304
2;6;1566;morta;3;4.774648293
2;6;1567;Pityrocarpa moniliformis;4;5.729577951
2;6;1567;Pityrocarpa moniliformis;4;6.047887837
2;6;1568;Cnidoscolus quercifolius;3;3.819718634
2;6;1568;Cnidoscolus quercifolius;3;4.13802852
2;6;1569;Pityrocarpa moniliformis;4;5.665915974
2;6;1570;Cnidoscolus quercifolius;5;16.87042397
2;6;1570;Cnidoscolus quercifolius;5;9.45380362
2;6;1571;Pityrocarpa moniliformis;3;6.366197724
2;6;1572;Tabaroa caatingicola;3;3.183098862
2;6;1573;morta;3;4.297183463
2;7;1574;Jatropha mutabilis;2;4.13802852
2;7;1575;morta;2;4.13802852
2;7;1576;Annona leptopetala;2;4.297183463
2;7;1577;morta;4;6.68450761
2;7;1577;morta;4;5.092958179
2;7;1578;Jatropha mutabilis;2.5;4.774648293
2;7;1579;Godmania dardanoi;3;5.092958179
2;7;1579;Godmania dardanoi;3;4.61549335
2;7;1580;Diptychandra aurantiaca;2;4.774648293
2;7;1581;Pityrocarpa moniliformis;3;6.207042781
2;7;1581;Pityrocarpa moniliformis;3;6.047887837
2;7;1582;Cnidoscolus quercifolius;2;4.13802852
2;7;1583;Jatropha mutabilis;2;4.13802852
2;7;1584;Pityrocarpa moniliformis;4;5.729577951
2;7;1585;Godmania dardanoi;4;5.729577951
